,Ingredient,Normalized,Name of Dish
2678,white rice,rice,Fajita Stuffed Chicken
2679,butter,butter,Fajita Stuffed Chicken
2680,water,,Fajita Stuffed Chicken
2681,packet Sazon Goya,,Fajita Stuffed Chicken
2682,salt to taste,salt,Fajita Stuffed Chicken
2683,Salsa,salsa,Fajita Stuffed Chicken
2684,Cilantro,cilantro,Fajita Stuffed Chicken
2685,Sour Cream,sour cream,Fajita Stuffed Chicken
2686,Baker's German's sweet chocolate,chocolate,German Chocolate Cake
2687,water,,German Chocolate Cake
2688,unsalted butter,butter,German Chocolate Cake
2689,white sugar,sugar,German Chocolate Cake
2690,large eggs,egg,German Chocolate Cake
2691,vanilla extract,vanilla,German Chocolate Cake
2692,buttermilk,buttermilk,German Chocolate Cake
2693,plus 2 tbsp all purpose flour,all purpose flour,German Chocolate Cake
2694,cornstarch,starch,German Chocolate Cake
2695,salt,salt,German Chocolate Cake
2696,baking soda,baking soda,German Chocolate Cake
2697,sweetened coconut,coconut,German Chocolate Cake
2698,chopped pecans,pecan,German Chocolate Cake
2699,egg yolks,egg,German Chocolate Cake
2700,can evaporated milk,milk,German Chocolate Cake
2701,vanilla extract,vanilla,German Chocolate Cake
2702,sugar,sugar,German Chocolate Cake
2703,unsalted butter,butter,German Chocolate Cake
2704,salt,salt,German Chocolate Cake
2705,unsalted butter,butter,German Chocolate Cake
2706,all vegetable shortening,vegetable,German Chocolate Cake
2707,cocoa powder,cocoa,German Chocolate Cake
2708,powdered sugar,sugar,German Chocolate Cake
2709,sea salt,salt,German Chocolate Cake
2710,milk or heavy cream,heavy cream,German Chocolate Cake
2711,butter,butter,Skillet Brookie
2712,large egg,egg,Skillet Brookie
2713,sugar,sugar,Skillet Brookie
2714,light brown sugar,sugar,Skillet Brookie
2715,vanilla extract,vanilla,Skillet Brookie
2716,all purpose flour,all purpose flour,Skillet Brookie
2717,cocoa powder,cocoa,Skillet Brookie
2718,salt,salt,Skillet Brookie
2719,baking powder,baking powder,Skillet Brookie
2720,butter,butter,Skillet Brookie
2721,sugar,sugar,Skillet Brookie
2722,light brown sugar,sugar,Skillet Brookie
2723,large egg,egg,Skillet Brookie
2724,milk,milk,Skillet Brookie
2725,vanilla,vanilla,Skillet Brookie
2726,all purpose flour,all purpose flour,Skillet Brookie
2727,cornstarch,starch,Skillet Brookie
2728,salt,salt,Skillet Brookie
2729,baking soda,baking soda,Skillet Brookie
2730,plus 2 tbsp semi-sweet chocolate chips,chocolate chips,Skillet Brookie
2731,plus 2 tbsp milk chocolate chunks,chocolate,Skillet Brookie
2732,chicken breasts,chicken,Hint of Lime CrockPot Chicken Chili
2733,onion,onion,Hint of Lime CrockPot Chicken Chili
2734,can black beans,black bean,Hint of Lime CrockPot Chicken Chili
2735,can light red kidney beans,red kidney bean,Hint of Lime CrockPot Chicken Chili
2736,can tomato sauce,tomato,Hint of Lime CrockPot Chicken Chili
2737,bag frozen corn,corn,Hint of Lime CrockPot Chicken Chili
2738,can diced tomatoes with green chiles,tomato,Hint of Lime CrockPot Chicken Chili
2739,bag frozen peppers and onions,pepper,Hint of Lime CrockPot Chicken Chili
2740,pack McCormick Grill Mates Mojito Lime Marinade,lime,Hint of Lime CrockPot Chicken Chili
2741,cumin,cumin,Hint of Lime CrockPot Chicken Chili
2742,chili powder,,Hint of Lime CrockPot Chicken Chili
2743,dried oregano,oregano,Hint of Lime CrockPot Chicken Chili
2744,salsa,salsa,Hint of Lime CrockPot Chicken Chili
2745,chicken broth,chicken broth,Hint of Lime CrockPot Chicken Chili
2746,for serving: fresh lime juice,lime juice,Hint of Lime CrockPot Chicken Chili
2747,of chicken breasts  ,chicken,Chicken and Andouille Sausage Burritos
2748,package of smoked andouille sausage,smoke,Chicken and Andouille Sausage Burritos
2749,Olive oil,olive oil,Chicken and Andouille Sausage Burritos
2750,Salt,salt,Chicken and Andouille Sausage Burritos
2751,Pepper,pepper,Chicken and Andouille Sausage Burritos
2752,garlic,garlic,Chicken and Andouille Sausage Burritos
2753,chopped cilantro,cilantro,Chicken and Andouille Sausage Burritos
2754,lime,lime,Chicken and Andouille Sausage Burritos
2755,bell peppers (red,bell pepper,Chicken and Andouille Sausage Burritos
2756,large sweet onion,onion,Chicken and Andouille Sausage Burritos
2757,jar of salsa verde,salsa,Chicken and Andouille Sausage Burritos
2758,jar of red salsa of choice,salsa,Chicken and Andouille Sausage Burritos
2759,package of yellow rice,rice,Chicken and Andouille Sausage Burritos
2760,can of refried beans,bean,Chicken and Andouille Sausage Burritos
2761,Shredded Mexican cheese for topping,cheese,Chicken and Andouille Sausage Burritos
2762,burrito tortillas,,Chicken and Andouille Sausage Burritos
2763,wonton wrappers,,Wonton Taco Cups
2764,ground beef,beef,Wonton Taco Cups
2765,package taco seasoning,,Wonton Taco Cups
2766,mixed cheese,cheese,Wonton Taco Cups
2767,Toppings: sour cream,sour cream,Wonton Taco Cups
2768,all purpose flour,all purpose flour,Homemade Apple Pie
2769,almond flour,almond,Homemade Apple Pie
2770,salt,salt,Homemade Apple Pie
2771,sugar,sugar,Homemade Apple Pie
2772,unsalted butter,butter,Homemade Apple Pie
2773,cold water,,Homemade Apple Pie
2774,vinegar,vinegar,Homemade Apple Pie
2775,unsalted butter,butter,Homemade Apple Pie
2776,all purpose flour,all purpose flour,Homemade Apple Pie
2777,vanilla,vanilla,Homemade Apple Pie
2778,cinnamon,cinnamon,Homemade Apple Pie
2779,nutmeg,nutmeg,Homemade Apple Pie
2780,water,,Homemade Apple Pie
2781,white sugar,sugar,Homemade Apple Pie
2782,packed brown sugar,sugar,Homemade Apple Pie
2783,Granny Smith apples,apple,Homemade Apple Pie
2784,chicken breasts,chicken,Chicken and Roasted Vegetable Enchilada Casserole
2785,pack McCormick original taco seasoning mix,gin,Chicken and Roasted Vegetable Enchilada Casserole
2786,bell peppers,bell pepper,Chicken and Roasted Vegetable Enchilada Casserole
2787,zucchini,zucchini,Chicken and Roasted Vegetable Enchilada Casserole
2788,yellow squash,squash,Chicken and Roasted Vegetable Enchilada Casserole
2789,onion,onion,Chicken and Roasted Vegetable Enchilada Casserole
2790,olive oil,olive oil,Chicken and Roasted Vegetable Enchilada Casserole
2791,can black beans,black bean,Chicken and Roasted Vegetable Enchilada Casserole
2792,ground cumin,cumin,Chicken and Roasted Vegetable Enchilada Casserole
2793,chili powder,,Chicken and Roasted Vegetable Enchilada Casserole
2794,garlic cloves,garlic,Chicken and Roasted Vegetable Enchilada Casserole
2795,chopped cilantro,cilantro,Chicken and Roasted Vegetable Enchilada Casserole
2796,Salt to taste,salt,Chicken and Roasted Vegetable Enchilada Casserole
2797,Pepper to taste,pepper,Chicken and Roasted Vegetable Enchilada Casserole
2798,28oz can medium red enchilada sauce,,Chicken and Roasted Vegetable Enchilada Casserole
2799,Pack of small corn tortillas,corn,Chicken and Roasted Vegetable Enchilada Casserole
2800,shredded Mexican cheese,cheese,Chicken and Roasted Vegetable Enchilada Casserole
2801,sugar,sugar,Hot Milk Cake
2802,eggs,egg,Hot Milk Cake
2803,baking powder,baking powder,Hot Milk Cake
2804,all purpose flour,all purpose flour,Hot Milk Cake
2805,milk,milk,Hot Milk Cake
2806,salted butter,butter,Hot Milk Cake
2807,vanilla,vanilla,Hot Milk Cake
2808,salted butter,butter,Hot Milk Cake
2809,"shredded coconut, sweetened ",coconut,Hot Milk Cake
2810,heavy whipping cream,cream,Hot Milk Cake
2811,light brown sugar,sugar,Hot Milk Cake
2812,zest of 1 lemon,lemon,Chicken and Vegetable Farro Salad
2813,juice of 1 lemon,lemon,Chicken and Vegetable Farro Salad
2814,white wine vinegar,white wine,Chicken and Vegetable Farro Salad
2815,honey,honey,Chicken and Vegetable Farro Salad
2816,garlic,garlic,Chicken and Vegetable Farro Salad
2817,kosher salt,salt,Chicken and Vegetable Farro Salad
2818,pepper,pepper,Chicken and Vegetable Farro Salad
2819,ground thyme,thyme,Chicken and Vegetable Farro Salad
2820,cardamom,cardamom,Chicken and Vegetable Farro Salad
2821,olive oil,olive oil,Chicken and Vegetable Farro Salad
2822,chicken breast,chicken,Chicken and Vegetable Farro Salad
2823,red onion,onion,Chicken and Vegetable Farro Salad
2824,mini sweet peppers,pepper,Chicken and Vegetable Farro Salad
2825,vine ripe tomatoes,tomato,Chicken and Vegetable Farro Salad
2826,~2 tbsp olive oil,olive oil,Chicken and Vegetable Farro Salad
2827,salt and pepper,pepper,Chicken and Vegetable Farro Salad
2828,parsley,parsley,Chicken and Vegetable Farro Salad
2829,basil,basil,Chicken and Vegetable Farro Salad
2830,fresh thyme,thyme,Chicken and Vegetable Farro Salad
2831,fresh rosemary,rosemary,Chicken and Vegetable Farro Salad
2832,dry farro,,Chicken and Vegetable Farro Salad
2833,kosher salt,salt,Chicken and Vegetable Farro Salad
2834,garlic,garlic,Chicken and Vegetable Farro Salad
2835,pepper,pepper,Chicken and Vegetable Farro Salad
2836,olive oil,olive oil,Chicken and Vegetable Farro Salad
2837,all purpose flour,all purpose flour,Lemon Cake with Lemon Oreo Filling
2838,cornstarch,starch,Lemon Cake with Lemon Oreo Filling
2839,salt,salt,Lemon Cake with Lemon Oreo Filling
2840,baking soda,baking soda,Lemon Cake with Lemon Oreo Filling
2841,baking powder,baking powder,Lemon Cake with Lemon Oreo Filling
2842,sugar,sugar,Lemon Cake with Lemon Oreo Filling
2843,extra large eggs or 4 large eggs,egg,Lemon Cake with Lemon Oreo Filling
2844,vegetable oil,vegetable oil,Lemon Cake with Lemon Oreo Filling
2845,fresh lemon juice from about 1.5 large lemons,lemon juice,Lemon Cake with Lemon Oreo Filling
2846,lemon zest from about 1 large lemon,lemon,Lemon Cake with Lemon Oreo Filling
2847,sour cream,sour cream,Lemon Cake with Lemon Oreo Filling
2848,lemon Oreo thins,lemon,Lemon Cake with Lemon Oreo Filling
2849,butter,butter,Lemon Cake with Lemon Oreo Filling
2850,powdered sugar,sugar,Lemon Cake with Lemon Oreo Filling
2851,almond extract,almond,Lemon Cake with Lemon Oreo Filling
2852,milk,milk,Lemon Cake with Lemon Oreo Filling
2853,almond flour,almond,Lemon Cake with Lemon Oreo Filling
2854,cream cheese,cream cheese,Lemon Cake with Lemon Oreo Filling
2855,Cool Whip,,Lemon Cake with Lemon Oreo Filling
2856,sugar,sugar,Lemon Cake with Lemon Oreo Filling
2857,powdered sugar,sugar,Lemon Cake with Lemon Oreo Filling
2858,lemon zest,lemon,Lemon Cake with Lemon Oreo Filling
2859,lemon juice,lemon juice,Lemon Cake with Lemon Oreo Filling
2860,chicken breasts,chicken,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2861,kosher salt,salt,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2862,butter,butter,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2863,onion,onion,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2864,garlic,garlic,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2865,fresh grated ginger,ginger,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2866,cayenne pepper,cayenne,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2867,paprika,paprika,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2868,chili powder,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2869,tumeric,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2870,cumin,cumin,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2871,cardamon,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2872,garam masala,,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2873,coriander,coriander,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2874,crushed tomatoes,tomato,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2875,coconut milk,coconut,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2876,"cilantro, jasmine rice, naan",cilantro,Chicken Tikka Masala (Slow Cooker or Instant Pot)
2877,chicken breast,chicken,Apple Stuffed Chicken with Sage Sauce
2878,chicken broth,chicken broth,Apple Stuffed Chicken with Sage Sauce
2879,lemon pepper seasoning,pepper,Apple Stuffed Chicken with Sage Sauce
2880,smoked paprika,paprika,Apple Stuffed Chicken with Sage Sauce
2881,salt,salt,Apple Stuffed Chicken with Sage Sauce
2882,olive oil,olive oil,Apple Stuffed Chicken with Sage Sauce
2883,sharp cheddar cheese,cheddar cheese,Apple Stuffed Chicken with Sage Sauce
2884,medium sized apple,apple,Apple Stuffed Chicken with Sage Sauce
2885,butter,butter,Apple Stuffed Chicken with Sage Sauce
2886,sage leaves,sage,Apple Stuffed Chicken with Sage Sauce
2887,buttermilk,buttermilk,Blueberry English Muffins
2888,sugar,sugar,Blueberry English Muffins
2889,package yeast,yeast,Blueberry English Muffins
2890,warm water,,Blueberry English Muffins
2891,melted butter,butter,Blueberry English Muffins
2892,all purpose flour,all purpose flour,Blueberry English Muffins
2893,whole wheat flour,wheat,Blueberry English Muffins
2894,salt,salt,Blueberry English Muffins
2895,blueberries,blueberries,Blueberry English Muffins
2896,corn meal for dusting,corn,Blueberry English Muffins
2897,ground pork,pork,Asian Pork Meatball Sandwich
2898,large egg,egg,Asian Pork Meatball Sandwich
2899,plain panko bread crumbs,bread,Asian Pork Meatball Sandwich
2900,chives,chive,Asian Pork Meatball Sandwich
2901,salt,salt,Asian Pork Meatball Sandwich
2902,garlic powder,garlic,Asian Pork Meatball Sandwich
2903,black pepper,black pepper,Asian Pork Meatball Sandwich
2904,olive oil,olive oil,Asian Pork Meatball Sandwich
2905,onion,onion,Asian Pork Meatball Sandwich
2906,soy sauce,soy sauce,Asian Pork Meatball Sandwich
2907,salt,salt,Asian Pork Meatball Sandwich
2908,black pepper,black pepper,Asian Pork Meatball Sandwich
2909,paprika,paprika,Asian Pork Meatball Sandwich
2910,brown sugar,sugar,Asian Pork Meatball Sandwich
2911,garlic,garlic,Asian Pork Meatball Sandwich
2912,tomato sauce,tomato,Asian Pork Meatball Sandwich
2913,marinara sauce,,Asian Pork Meatball Sandwich
2914,tomato sauce,tomato,Asian Pork Meatball Sandwich
2915,sub rolls,,Asian Pork Meatball Sandwich
2916,cilantro,cilantro,Asian Pork Meatball Sandwich
2917,grits,,Sausage and Grits
2918,chicken broth,chicken broth,Sausage and Grits
2919,milk,milk,Sausage and Grits
2920,salt,salt,Sausage and Grits
2921,unsalted butter,butter,Sausage and Grits
2922,shredded cheddar cheese,cheddar cheese,Sausage and Grits
2923,thick cut bacon,bacon,Sausage and Grits
2924,orange bell pepper,bell pepper,Sausage and Grits
2925,red bell pepper,bell pepper,Sausage and Grits
2926,yellow bell pepper,bell pepper,Sausage and Grits
2927,large sweet onion,onion,Sausage and Grits
2928,garlic,garlic,Sausage and Grits
2929,Old Bay seasoning,bay,Sausage and Grits
2930,lemon juice,lemon juice,Sausage and Grits
2931,package Andouille sausage,sage,Sausage and Grits
2932,butter,butter,Sausage and Grits
2933,water,,Sausage and Grits
2934,all purpose flour,all purpose flour,Sausage and Grits
2935,salt,salt,Sausage and Grits
2936,cayenne pepper,cayenne,Sausage and Grits
2937,garlic powder,garlic,Sausage and Grits
2938,Worcestershire sauce,,Sausage and Grits
2939,Tabasco sauce,,Sausage and Grits
2940,green onions,onion,Sausage and Grits
2941,almond flour,almond,Rustic Peach Blueberry Tart
2942,all purpose flour,all purpose flour,Rustic Peach Blueberry Tart
2943,sugar,sugar,Rustic Peach Blueberry Tart
2944,salt,salt,Rustic Peach Blueberry Tart
2945,unsalted butter,butter,Rustic Peach Blueberry Tart
2946,very cold water,,Rustic Peach Blueberry Tart
2947,almond extract,almond,Rustic Peach Blueberry Tart
2948,egg,egg,Rustic Peach Blueberry Tart
2949,peaches,peach,Rustic Peach Blueberry Tart
2950,sugar,sugar,Rustic Peach Blueberry Tart
2951,brown sugar,sugar,Rustic Peach Blueberry Tart
2952,cornstarch,starch,Rustic Peach Blueberry Tart
2953,cinnamon,cinnamon,Rustic Peach Blueberry Tart
2954,nutmeg,nutmeg,Rustic Peach Blueberry Tart
2955,lemon juice,lemon juice,Rustic Peach Blueberry Tart
2956,almond extract,almond,Rustic Peach Blueberry Tart
2957,blueberries,blueberries,Rustic Peach Blueberry Tart
2958,chicken breasts,chicken,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2959,olive oil,olive oil,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2960,onion,onion,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2961,garlic,garlic,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2962,tomato sauce,tomato,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2963,molasses,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2964,brown sugar,sugar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2965,apple cider vinegar,vinegar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2966,tomato paste,tomato,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2967,liquid smoke,smoke,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2968,paprika,paprika,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2969,chili powder,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2970,cinnamon,cinnamon,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2971,Sriracha chili sauce,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2972,broccoli slaw,broccoli,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2973,red pepper,pepper,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2974,shredded carrots,carrot,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2975,sugar,sugar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2976,salt,salt,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2977,vegetable oil,vegetable oil,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2978,rice vinegar,vinegar,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2979,Slider buns,,Shredded BBQ Chicken Sliders (Instant Pot or Slow Cooker)
2980,of unsalted butter,butter,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2981,whole milk,milk,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2982,granulated sugar,sugar,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2983,light brown sugar,sugar,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2984,large eggs,egg,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2985,pure vanilla extract,vanilla,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2986,all purpose flour,all purpose flour,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2987,salt,salt,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2988,baking soda,baking soda,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2989,cornstarch,starch,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2990,semi-sweet chocolate chips plus 2 tablespoons,chocolate chips,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2991,caramel chips plus 2 tablespoons,,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2992,sea salt,salt,Brown Butter Sea Salt Caramel Chocolate Chip Cookies
2993,almond flour,almond,Pumpkin Breakfast Bars
2994,plus 1/4 cup all purpose flour,all purpose flour,Pumpkin Breakfast Bars
2995,cornstarch,starch,Pumpkin Breakfast Bars
2996,old fashioned oats,oat,Pumpkin Breakfast Bars
2997,salt,salt,Pumpkin Breakfast Bars
2998,baking powder,baking powder,Pumpkin Breakfast Bars
2999,pumpkin pie spice,pumpkin,Pumpkin Breakfast Bars
3000,cinnamon,cinnamon,Pumpkin Breakfast Bars
3001,canned pumpkin puree,pumpkin,Pumpkin Breakfast Bars
3002,honey,honey,Pumpkin Breakfast Bars
3003,vanilla,vanilla,Pumpkin Breakfast Bars
3004,butter,butter,Pumpkin Breakfast Bars
3005,large eggs,egg,Pumpkin Breakfast Bars
3006,plus 2 tbsp buttermilk,buttermilk,Pumpkin Breakfast Bars
3007,canned pumpkin puree,pumpkin,Pumpkin Breakfast Bars
3008,honey,honey,Pumpkin Breakfast Bars
3009,brown sugar,sugar,Pumpkin Breakfast Bars
3010,egg,egg,Pumpkin Breakfast Bars
3011,pumpkin pie spice,pumpkin,Pumpkin Breakfast Bars
3012,plain breadcrumbs,bread,Instant Pot Meatballs
3013,milk,milk,Instant Pot Meatballs
3014,ground beef,beef,Instant Pot Meatballs
3015,ground sausage,sage,Instant Pot Meatballs
3016,fresh grated parmesan cheese,parmesan cheese,Instant Pot Meatballs
3017,Italian seasoning,,Instant Pot Meatballs
3018,salt,salt,Instant Pot Meatballs
3019,black pepper,black pepper,Instant Pot Meatballs
3020,cayenne pepper,cayenne,Instant Pot Meatballs
3021,egg,egg,Instant Pot Meatballs
3022,olive oil,olive oil,Instant Pot Meatballs
3023,onion,onion,Instant Pot Meatballs
3024,garlic,garlic,Instant Pot Meatballs
3025,can crushed tomatoes,tomato,Instant Pot Meatballs
3026,can tomato sauce,tomato,Instant Pot Meatballs
3027,can tomato paste,tomato,Instant Pot Meatballs
3028,sugar,sugar,Instant Pot Meatballs
3029,dried oregano,oregano,Instant Pot Meatballs
3030,dried basil,basil,Instant Pot Meatballs
3031,Italian seasoning,,Instant Pot Meatballs
3032,salt,salt,Instant Pot Meatballs
3033,pepper,pepper,Instant Pot Meatballs
3034,package of white cake mix,,White Almond Cake with Raspberry Filling and Buttercream Frosting
3035,all-purpose flour,all purpose flour,White Almond Cake with Raspberry Filling and Buttercream Frosting
3036,sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
3037,salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
3038,water,,White Almond Cake with Raspberry Filling and Buttercream Frosting
3039,sour cream,sour cream,White Almond Cake with Raspberry Filling and Buttercream Frosting
3040,vegetable oil,vegetable oil,White Almond Cake with Raspberry Filling and Buttercream Frosting
3041,almond extract,almond,White Almond Cake with Raspberry Filling and Buttercream Frosting
3042,vanilla extract,vanilla,White Almond Cake with Raspberry Filling and Buttercream Frosting
3043,egg whites,egg,White Almond Cake with Raspberry Filling and Buttercream Frosting
3044,frozen unsweetened raspberries,raspberries,White Almond Cake with Raspberry Filling and Buttercream Frosting
3045,sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
3046,lemon juice,lemon juice,White Almond Cake with Raspberry Filling and Buttercream Frosting
3047,cornstarch,starch,White Almond Cake with Raspberry Filling and Buttercream Frosting
3048,raspberry liqueur,raspberry,White Almond Cake with Raspberry Filling and Buttercream Frosting
3049,stick of unsalted butter,butter,White Almond Cake with Raspberry Filling and Buttercream Frosting
3050,all vegetable shortening,vegetable,White Almond Cake with Raspberry Filling and Buttercream Frosting
3051,powdered sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
3052,vanilla,vanilla,White Almond Cake with Raspberry Filling and Buttercream Frosting
3053,sea salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
3054,milk or heavy cream,heavy cream,White Almond Cake with Raspberry Filling and Buttercream Frosting
3055,frozen unsweetened raspberries,raspberries,White Almond Cake with Raspberry Filling and Buttercream Frosting
3056,stick of unsalted butter,butter,White Almond Cake with Raspberry Filling and Buttercream Frosting
3057,shortening,,White Almond Cake with Raspberry Filling and Buttercream Frosting
3058,of powdered sugar,sugar,White Almond Cake with Raspberry Filling and Buttercream Frosting
3059,of sea salt,salt,White Almond Cake with Raspberry Filling and Buttercream Frosting
3060,olive oil,olive oil,Baked Salsa Verde Taquitos
3061,pork roast,pork,Baked Salsa Verde Taquitos
3062,onion,onion,Baked Salsa Verde Taquitos
3063,seasoned salt,salt,Baked Salsa Verde Taquitos
3064,cumin + 1 teaspoon,cumin,Baked Salsa Verde Taquitos
3065,can black beans,black bean,Baked Salsa Verde Taquitos
3066,red salsa,salsa,Baked Salsa Verde Taquitos
3067,salsa verde,salsa,Baked Salsa Verde Taquitos
3068,mixed mexican cheese,cheese,Baked Salsa Verde Taquitos
3069,kosher salt,salt,Baked Salsa Verde Taquitos
3070,pepper to taste,pepper,Baked Salsa Verde Taquitos
3071,chili powder,,Baked Salsa Verde Taquitos
3072,small corn tortillas,corn,Baked Salsa Verde Taquitos
3073,large eggs,egg,Buttermilk Pancakes
3074,all purpose flour,all purpose flour,Buttermilk Pancakes
3075,baking powder,baking powder,Buttermilk Pancakes
3076,salt,salt,Buttermilk Pancakes
3077,sugar,sugar,Buttermilk Pancakes
3078,buttermilk,buttermilk,Buttermilk Pancakes
3079,melted butter,butter,Buttermilk Pancakes
3080,vanilla extract,vanilla,Buttermilk Pancakes
3081,packages of white cake mix,,Flag Cake
3082,all-purpose flour,all purpose flour,Flag Cake
3083,sugar,sugar,Flag Cake
3084,salt,salt,Flag Cake
3085,water,,Flag Cake
3086,sour cream,sour cream,Flag Cake
3087,vegetable oil,vegetable oil,Flag Cake
3088,almond extract,almond,Flag Cake
3089,vanilla extract,vanilla,Flag Cake
3090,egg whites,egg,Flag Cake
3091,blue and red food coloring,,Flag Cake
3092,frozen unsweetened raspberries thawed,raspberries,Flag Cake
3093,sugar,sugar,Flag Cake
3094,lemon juice,lemon juice,Flag Cake
3095,cornstarch,starch,Flag Cake
3096,raspberry liqueur,raspberry,Flag Cake
3097,sticks unsalted butter,butter,Flag Cake
3098,all vegetable shortening,vegetable,Flag Cake
3099,powdered sugar,sugar,Flag Cake
3100,vanilla,vanilla,Flag Cake
3101,sea salt,salt,Flag Cake
3102,milk or heavy cream,heavy cream,Flag Cake
3103,blue and red food coloring,,Flag Cake
3104,recipe of Sugar Cookies with Royal Frosting,sugar,Flag Cake
3105,chicken breasts,chicken,Grilled Chicken with Lime Butter Sauce
3106,olive oil,olive oil,Grilled Chicken with Lime Butter Sauce
3107,salt,salt,Grilled Chicken with Lime Butter Sauce
3108,black pepper,black pepper,Grilled Chicken with Lime Butter Sauce
3109,chicken broth,chicken broth,Grilled Chicken with Lime Butter Sauce
3110,zest of 1 lime,lime,Grilled Chicken with Lime Butter Sauce
3111,fresh garlic,garlic,Grilled Chicken with Lime Butter Sauce
3112,juice of 1 lime,lime,Grilled Chicken with Lime Butter Sauce
3113,unsalted butter,butter,Grilled Chicken with Lime Butter Sauce
3114,dried dill,dill,Grilled Chicken with Lime Butter Sauce
3115,green onions,onion,Grilled Chicken with Lime Butter Sauce
3116,salt,salt,Grilled Chicken with Lime Butter Sauce
3117,olive oil,olive oil,Grilled Chicken with Lime Butter Sauce
3118,fresh spinach,,Grilled Chicken with Lime Butter Sauce
3119,fresh lime juice,lime juice,Grilled Chicken with Lime Butter Sauce
3120,salt,salt,Grilled Chicken with Lime Butter Sauce
3121,chicken breast,chicken,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3122,chicken broth,chicken broth,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3123,kosher salt,salt,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3124,black pepper,black pepper,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3125,olive oil,olive oil,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3126,garlic,garlic,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3127,red onion,onion,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3128,medium jalapeno,jalapeno,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3129,curry powder,,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
3130,lemongrass paste,lemongrass,Lemongrass Chicken Stuffed Peppers (Instant Pot or Slow Cooker)
